<Name>	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
2134839 CMP 552 BT ROT	ACTIVE				Stereo-Radio-CD-Player mit CD/Bluetooth	
2134835 CMP 524 MP3 PORTABLE RADIO RED	ACTIVE				Stereo-AM/FM-Radio-CD-Player mit CD	
2134837 CMP 552 BT BLAU	ACTIVE				Stereo-Radio-CD-Player mit CD/Bluetooth	
2134836 CMP 552 BT BIANCO WHITE	ACTIVE				Stereo-Radio-CD-Player mit CD/Bluetooth	
2134840 CMP 850 BT BOOMBOX BLACK	ACTIVE				Boombox mit CD und Bluetooth 	
2138447 SCD 2000 PI	ACTIVE				SCD2000PI CD BOOMBOX MIT AUX-IN	
2139588 RCD 1350 PI	ACTIVE				RCD 1350 PI RETRO CD/MP3/USB RADIO	
2146386 SCD 5100 BL	ACTIVE				SCD 5100 BL	
2146387 SCD 5100 GR	ACTIVE				SCD 5100 GR	
2146388 SCD 5100 SW	BLOCKED				SCD 5100 SW	
2146389 SCD 5750 RO	ACTIVE	CD-Radiorekorder mit externen Mikrofon in rot.	<body>CD-Radiorekorder mit externen Mikrofon in rot.</body>		SCD 5750 RO	
2146390 SCD 5750 PI	ACTIVE	CD-Radiorekorder mit externen Mikrofon in Pink.	<body>CD-Radiorekorder mit externen Mikrofon in Pink.</body>		SCD 5750 PI	
2146391 SCD 5750 SW	ACTIVE	CD-Radiorekorder mit externen Mikrofon.	<body>CD-Radiorekorder mit externen Mikrofon.</body>		SCD 5750 SW	
2148245 CD 57 USB - NEW YORK BY NIGHT	ACTIVE	"TRAGBARES UKW / USB / MP3 / CD-RADIO

- UKW-Radio
- CD-Spieler
- Programmierfunktion
- USB-Anschluss für MP3
- Teleskopantenne
- 2 eingebaute Lautsprecher
- Tragegriff
- Netz- oder Batteriebetrieb möglich (6x R14 Batterien / nicht im Lieferumfang enthalten)"	"<header>TRAGBARES UKW / USB / MP3 / CD-RADIO</header>

<body>- UKW-Radio</body>
<body>- CD-Spieler</body>
<body>- Programmierfunktion</body>
<body>- USB-Anschluss für MP3</body>
<body>- Teleskopantenne</body>
<body>- 2 eingebaute Lautsprecher</body>
<body>- Tragegriff</body>
<body>- Netz- oder Batteriebetrieb möglich (6x R14 Batterien / nicht im Lieferumfang enthalten)</body>"		CD-RADIO CD57 USB - NEW YORK BY NIGHT	
2148246 CD 57 USB - NEW YORK TAXI	ACTIVE	"TRAGBARES UKW / USB / MP3 / CD-RADIO

- UKW-Radio
- CD-Spieler
- Programmierfunktion
- USB-Anschluss für MP3
- Teleskopantenne
- 2 eingebaute Lautsprecher
- Tragegriff
- Netz- oder Batteriebetrieb möglich (6x R14 Batterien / nicht im Lieferumfang enthalten)"	"<header>TRAGBARES UKW / USB / MP3 / CD-RADIO</header>

<body>- UKW-Radio</body>
<body>- CD-Spieler</body>
<body>- Programmierfunktion</body>
<body>- USB-Anschluss für MP3</body>
<body>- Teleskopantenne</body>
<body>- 2 eingebaute Lautsprecher</body>
<body>- Tragegriff</body>
<body>- Netz- oder Batteriebetrieb möglich (6x R14 Batterien / nicht im Lieferumfang enthalten)</body>"		CD-RADIO CD57 USB - NEW YORK TAXI	
2157295 SR 4375 SCHWARZ	ACTIVE				SR 4375 STEREORADIO BT/CD/USB/AUX SCHWARZ	
2157297 SR 4370 SCHWARZ	ACTIVE	Großes und vielfältiges Programmangebot durch digitalen, störungsfreien Empfang, hoher Bedienkomfort, 10 Senderspeicher, 2-zeiliges beleuchtetes, LCD-Display mit Anzeige von Zusatzinformationen	<body>Großes und vielfältiges Programmangebot durch digitalen, störungsfreien Empfang, hoher Bedienkomfort, 10 Senderspeicher, 2-zeiliges beleuchtetes, LCD-Display mit Anzeige von Zusatzinformationen</body>		SR 4370 STEREORADIO CD/DAB+ SCHWARZ	
2157298 SR 4370 WEISS	ACTIVE	Großes und vielfältiges Programmangebot durch digitalen, störungsfreien Empfang, hoher Bedienkomfort, 10 Senderspeicher, 2-zeiliges beleuchtetes, LCD-Display mit Anzeige von Zusatzinformationen	<body>Großes und vielfältiges Programmangebot durch digitalen, störungsfreien Empfang, hoher Bedienkomfort, 10 Senderspeicher, 2-zeiliges beleuchtetes, LCD-Display mit Anzeige von Zusatzinformationen</body>		SR 4370 STEREORADIO CD/DAB+ WEISS	
2160097 SCD 300 SCHWARZ	ACTIVE	Tragbares FM Radio mit CD Player, USB Playback und LCD Display	Tragbares FM Radio mit CD Player, USB Playback und LCD Display		Tragbares FM Radio mit CD Player	
2160098 SCD 300 PURPLE	ACTIVE	Tragbares FM Radio mit CD Player, USB Playback und LCD Display	Tragbares FM Radio mit CD Player, USB Playback und LCD Display		Tragbares FM Radio mit CD Player	
2160099 SCD 300 BLAU	ACTIVE	Tragbares FM Radio mit CD Player, USB Playback und LCD Display	Tragbares FM Radio mit CD Player, USB Playback und LCD Display		Tragbares FM Radio mit CD Player	
2160102 SCD 550 ROT	ACTIVE	Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten im Rhythmus der Musik	<body>Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten im Rhythmus der Musik</body>		Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten	
2160117 SCD 550 SILBER	ACTIVE	Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten im Rhythmus der Musik	<body>Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten im Rhythmus der Musik</body>		Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten	
2160128 SCD 550 BLAU	ACTIVE	Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten im Rhythmus der Musik	<body>Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten im Rhythmus der Musik</body>		Tragbares FM Radio mit CD, USB, Bluetooth, Lichteffekten	
2160139 SCD 650 PINK	BLOCKED	Tragbares FM Radio mit CD, MP3, USB, Lichteffekten, Mikrofon	<body>Tragbares FM Radio mit CD, MP3, USB, Lichteffekten, Mikrofon</body>		Tragbares FM Radio mit CD, MP3, USB, Lichteffekten, Mikrofon	
2160141 SCD 650 BLAU	BLOCKED	Tragbares FM Radio mit CD, MP3, USB, Lichteffekten, Mikrofon	<body>Tragbares FM Radio mit CD, MP3, USB, Lichteffekten, Mikrofon</body>		Tragbares FM Radio mit CD, MP3, USB, Lichteffekten, Mikrofon	
2160155 SCD 24 PURPLE	BLOCKED	Tragbares FM Radio mit CD Player			Tragbares FM Radio mit CD Player	
2160166 SCD 420 SILBER	BLOCKED	Tragbares FM Radio mit CD Player und Kassettenspieler			Tragbares FM Radio mit CD Player und Kassettenspieler	
2160167 SCD 420 ROT	BLOCKED	Tragbares FM Radio mit CD Player und Kassettenspieler			Tragbares FM Radio mit CD Player und Kassettenspieler	
2160169 SCR 970	BLOCKED	Tragbares FM Radio mit CD Player und Kassettenspieler			Tragbares FM Radio mit CD Player und Kassettenspieler	
2168375 SCD 5406 GR GRÜN	BLOCKED				CD-Boombox mit Kassettenspieler	
2168376 SCD 5406 PI PINK	BLOCKED				CD-Boombox mit Kassettenspieler	
2168374 SCD 5406 HBL BLAU	BLOCKED				CD-Boombox mit Kassettenspieler	
2168377 SCD 5406 RO ROT	BLOCKED				CD-Boombox mit Kassettenspieler	
2170966 SCD 32 BT	BLOCKED	Tragbares CD Radio mit Bluetooth 			Tragbares CD Radio mit Bluetooth	
2170970 SCD 680 DAB+	BLOCKED	Tragbare Boombox mit DAB+ Radio und Kassettenspieler	<body>Tragbare Boombox mit DAB+ Radio und Kassettenspieler</body>		Tragbare Boombox mit DAB+ Radio und Kassettenspieler	
2170981 PA 325	BLOCKED	Tragbares Soundsystem mit Bluetooth, USB und Discokugel	<body>Tragbares Soundsystem mit Bluetooth, USB und Discokugel</body>		Tragbares Soundsystem mit Bluetooth, USB und Discokugel	
2173611 ZS-PE 60 W WEISS	BLOCKED	"Wiedergabe der gesamten Musiksammlung über ein System: USB/Radio/MP3 und CD. Der CD Recorder ist schmal und aufgrund des optionalen Betriebs über Batterien auch für den mobilen Gebrauch geeignet

- CD-Frontlader liest CD-DA/CD-R/CD-RW-Disc-Format und WMA- /MP3 Audiodateien
- Anschlüsse: Audio-In, USB, Stereo-Minibuchse (Kopfhöreranschluss)
- Ausgangsleistung von 1W + 1W
- Radio: UKW/AM
- FM: 87,5MHz - 108,0MHz(50-kHz-Raster)
- AM: 531kHz - 1.602kHz(9-kHz-Raster)
- Teleskopantenne
- Betrieb optional über Netzkabel oder Batterien (6 x LR6-Batterien,Größe AA)
- Stromversorgung: 230V"	"<body>Wiedergabe der gesamten Musiksammlung über ein System: USB/Radio/MP3 und CD. Der CD Recorder ist schmal und aufgrund des optionalen Betriebs über Batterien auch für den mobilen Gebrauch geeignet</body>

<body>- CD-Frontlader liest CD-DA/CD-R/CD-RW-Disc-Format und WMA- /MP3 Audiodateien</body>
<body>- Anschlüsse: Audio-In, USB, Stereo-Minibuchse (Kopfhöreranschluss)</body>
<body>- Ausgangsleistung von 1W + 1W</body>
<body>- Radio: UKW/AM</body>
<body>- FM: 87,5MHz - 108,0MHz(50-kHz-Raster)</body>
<body>- AM: 531kHz - 1.602kHz(9-kHz-Raster)</body>
<body>- Teleskopantenne</body>
<body>- Betrieb optional über Netzkabel oder Batterien (6 x LR6-Batterien,Größe AA)</body>
<body>- Stromversorgung: 230V</body>"		Tragbares Radio, USB, MP3, CD	
2173612 ZS-PE 60 B SCHWARZ	BLOCKED	"Wiedergabe der gesamten Musiksammlung über ein System: USB/Radio/MP3 und CD. Der CD Recorder ist schmal und aufgrund des optionalen Betriebs über Batterien auch für den mobilen Gebrauch geeignet

- CD-Frontlader liest CD-DA/CD-R/CD-RW-Disc-Format und WMA- /MP3 Audiodateien
- Anschlüsse: Audio-In, USB, Stereo-Minibuchse (Kopfhöreranschluss)
- Ausgangsleistung von 1W + 1W
- Radio: UKW/AM
- FM: 87,5MHz - 108,0MHz(50-kHz-Raster)
- AM: 531kHz - 1.602kHz(9-kHz-Raster)
- Teleskopantenne
- Betrieb optional über Netzkabel oder Batterien (6 x LR6-Batterien,Größe AA)
- Stromversorgung: 230V"	"<body>Wiedergabe der gesamten Musiksammlung über ein System: USB/Radio/MP3 und CD. Der CD Recorder ist schmal und aufgrund des optionalen Betriebs über Batterien auch für den mobilen Gebrauch geeignet</body>

<body>- CD-Frontlader liest CD-DA/CD-R/CD-RW-Disc-Format und WMA- /MP3 Audiodateien</body>
<body>- Anschlüsse: Audio-In, USB, Stereo-Minibuchse (Kopfhöreranschluss)</body>
<body>- Ausgangsleistung von 1W + 1W</body>
<body>- Radio: UKW/AM</body>
<body>- FM: 87,5MHz - 108,0MHz(50-kHz-Raster)</body>
<body>- AM: 531kHz - 1.602kHz(9-kHz-Raster)</body>
<body>- Teleskopantenne</body>
<body>- Betrieb optional über Netzkabel oder Batterien (6 x LR6-Batterien,Größe AA)</body>
<body>- Stromversorgung: 230V</body>"		Tragbares Radio, USB, MP3, CD	
2183008 PR 1980 BOOMBOX 80 S	BLOCKED	"- AM / FM / SW 3 Band Funkgerät
- Kassettenspieler (inkl. Auto Stop)
- USB + SD-Port zum Abspielen digitaler Musik
- Eingebautes Mikrophon
- Eingebaute Aufnahmefunktion (Aufzeichnung von Mikrofon zu Kassette)
- 2-Band-Equalizer
- 3.5mm Kopfhörerausgang
- 2x 8 Watt in X-Bass-Lautsprechern gebaut
- Antenne
- Tragegriff
- 2-Wege-Stromversorgung: AC oder Batterien AC: 100 ~ 240V
- Batterie: 6V (4 x UM-1)"	"<body>- AM / FM / SW 3 Band Funkgerät</body>
<body>- Kassettenspieler (inkl. Auto Stop)</body>
<body>- USB + SD-Port zum Abspielen digitaler Musik</body>
<body>- Eingebautes Mikrophon</body>
<body>- Eingebaute Aufnahmefunktion (Aufzeichnung von Mikrofon zu Kassette)</body>
<body>- 2-Band-Equalizer</body>
<body>- 3.5mm Kopfhörerausgang</body>
<body>- 2x 8 Watt in X-Bass-Lautsprechern gebaut</body>
<body>- Antenne</body>
<body>- Tragegriff</body>
<body>- 2-Wege-Stromversorgung: AC oder Batterien AC: 100 ~ 240V</body>
<body>- Batterie: 6V (4 x UM-1)</body>"		PR 1980 BOOMBOX 80 S	
2213221 UR 2195 SILBER	BLOCKED	"Highlights:

- Digitaler DAB-/UKW-Tuner (20 DAB- + 20 UKW-Sender manuell speicherbar)
- AMS-Funktion (Automatisches Speichersystem) (30 DAB- + 30 UKW-Sender voreingestellt)
- Mit Wiedergabefunktion über CD|MP3|WMA und USB (max. 32GB)
- Display mit Uhr und Datumsanzeige
- Integrierter Kalender mit automatischer Schaltjahrerkennung von 2000-2099
- Zwei Alarme für unabhängige Einstellung der 4 Modi (Täglich, Wochentags, Wochenende und Einzeleinstellung)
- Alarm per CD, DAB, UKW oder Summton
- Mit automatischer und manueller Suche, auf- und abwärts
- Elektronische Lautstärkensteuerung (32 Stufen)
- Hintergrundbeleuchtung mit Dimmer
- Automatisches Umschalten in den Standby-Modus nach 15 Minuten, wenn keine Quellen wiedergegeben werden.
- 5 voreingestellte Equalizer (Ohne Effekt, Rock, Klassik, Jazz, Pop)
- Frequenzbereich des Radios: UKW: 87,5 ~ 108,0 MHz , 50 kHz  Schritt, DAB-Band III 174,928-239,2 MHz
- CD-Wiedergabe inkl. der unten aufgeführten Funktionen:
- CD-Disk & MP3-Disk & WMA-Disk, CD-Disk
- Titelprogrammierung: (Max. 32 Tracks), MP3- | WMA-Disk
- Titelprogrammierung: (Max. 99 Tracks)
- 8cm&12cm CD-R, CD-RW, auch nicht abgeschlossen, Multi-Session, Mix-Modus (nur CDDA)
- Wiedergabe, Pause, Schnellvorlauf und Schnellrücklauf
- Eins wiederholen / Alles wiederholen / Ordner wiederholen / Zufallswiedergabe
- USB-Modus
- Titelprogrammierung: (Max. 99 Tracks)
- USB Ladefunktion
- Aux In Funktion
- Bluetooth® Funktion
- Arbeitsplatzbeleuchtung"	"<header>Highlights:</header>

<body>- Digitaler DAB-/UKW-Tuner (20 DAB- + 20 UKW-Sender manuell speicherbar)</body>
<body>- AMS-Funktion (Automatisches Speichersystem) (30 DAB- + 30 UKW-Sender voreingestellt)</body>
<body>- Mit Wiedergabefunktion über CD|MP3|WMA und USB (max. 32GB)</body>
<body>- Display mit Uhr und Datumsanzeige</body>
<body>- Integrierter Kalender mit automatischer Schaltjahrerkennung von 2000-2099</body>
<body>- Zwei Alarme für unabhängige Einstellung der 4 Modi (Täglich, Wochentags, Wochenende und Einzeleinstellung)</body>
<body>- Alarm per CD, DAB, UKW oder Summton</body>
<body>- Mit automatischer und manueller Suche, auf- und abwärts</body>
<body>- Elektronische Lautstärkensteuerung (32 Stufen)</body>
<body>- Hintergrundbeleuchtung mit Dimmer</body>
<body>- Automatisches Umschalten in den Standby-Modus nach 15 Minuten, wenn keine Quellen wiedergegeben werden.</body>
<body>- 5 voreingestellte Equalizer (Ohne Effekt, Rock, Klassik, Jazz, Pop)</body>
<body>- Frequenzbereich des Radios: UKW: 87,5 ~ 108,0 MHz , 50 kHz  Schritt, DAB-Band III 174,928-239,2 MHz</body>
<body>- CD-Wiedergabe inkl. der unten aufgeführten Funktionen:</body>
<body>- CD-Disk & MP3-Disk & WMA-Disk, CD-Disk</body>
<body>- Titelprogrammierung: (Max. 32 Tracks), MP3- | WMA-Disk</body>
<body>- Titelprogrammierung: (Max. 99 Tracks)</body>
<body>- 8cm&12cm CD-R, CD-RW, auch nicht abgeschlossen, Multi-Session, Mix-Modus (nur CDDA)</body>
<body>- Wiedergabe, Pause, Schnellvorlauf und Schnellrücklauf</body>
<body>- Eins wiederholen / Alles wiederholen / Ordner wiederholen / Zufallswiedergabe</body>
<body>- USB-Modus</body>
<body>- Titelprogrammierung: (Max. 99 Tracks)</body>
<body>- USB Ladefunktion</body>
<body>- Aux In Funktion</body>
<body>- Bluetooth® Funktion</body>
<body>- Arbeitsplatzbeleuchtung</body>"		"CD/MP3 Unterbauradio mit DAB+/UKW Radio, Bluetooth®
und USB Anschluss"	
2221672 ORC 311 BL	BLOCKED				ORC 311 BL	
2221673 ORC 311 PK	BLOCKED				ORC 311 PK	
2226041 ORC 610	BLOCKED				ORC 610	
2229197 RR 5040 B OBERON	BLOCKED	"Der Oberon von Karcher ist der ideale Begleiter für kleine und große Musikfans. Egal ob Sie beim Picknick oder beim Kindergeburtstag im heimischen Garten für musikalische Untermalung sorgen, oder ob Sie Märchen und Hörbücher im Kinderzimmer abspielen möchten, der Radio-CD-Player bringt Spaß für die ganze Familie.

Der CD-Player spielt normale Audio-CDs sowie die Formate CD-R und CD-RW ab. Die Funktionen des Top-Loading-CD-Players umfassen neben der normalen Wiedergabe die zwei Wiederholmodi Repeat All und Repeat One, das bedeutet es können entweder alle oder nur ein einzelner Titel einer CD wiederholt werden. Weiterhin ist die Wiedergabereihenfolge für bis zu 20 Titel programmierbar oder eine Zufallswiedergabe möglich. Neben der CD-Player-Funktion verfügt der Oberon über einen Kassettenplayer mit Auto-Stopp und Soft-Eject. Außerdem können Sie dank Teleskopantenne und eingebauter MW-Antenne Radio über UKW oder MW empfangen.

Der Oberon verfügt über einen AUX-Anschluss, sodass Sie das Gerät auch als Wiedergabegerät für externe Audioquellen, wie beispielsweise mp3-Player, Smartphones oder Tablets verwenden können. Die hochwertigen Stereo-Lautsprecher sorgen mit 50 Watt(PMPO) Ausgangsleistung immer für einen kraftvollen Sound.

Das Gerät punktet mit kinderleichter und intuitiver Bedienung. Dank der kompakten Größe, des Tragegriffs sowie der Möglichkeit zum Batteriebetrieb können Sie das Gerät problemlos überall mit hinnehmen."	"<body>Der Oberon von Karcher ist der ideale Begleiter für kleine und große Musikfans. Egal ob Sie beim Picknick oder beim Kindergeburtstag im heimischen Garten für musikalische Untermalung sorgen, oder ob Sie Märchen und Hörbücher im Kinderzimmer abspielen möchten, der Radio-CD-Player bringt Spaß für die ganze Familie.</body>

<body>Der CD-Player spielt normale Audio-CDs sowie die Formate CD-R und CD-RW ab. Die Funktionen des Top-Loading-CD-Players umfassen neben der normalen Wiedergabe die zwei Wiederholmodi Repeat All und Repeat One, das bedeutet es können entweder alle oder nur ein einzelner Titel einer CD wiederholt werden. Weiterhin ist die Wiedergabereihenfolge für bis zu 20 Titel programmierbar oder eine Zufallswiedergabe möglich. Neben der CD-Player-Funktion verfügt der Oberon über einen Kassettenplayer mit Auto-Stopp und Soft-Eject. Außerdem können Sie dank Teleskopantenne und eingebauter MW-Antenne Radio über UKW oder MW empfangen.</body>

<body>Der Oberon verfügt über einen AUX-Anschluss, sodass Sie das Gerät auch als Wiedergabegerät für externe Audioquellen, wie beispielsweise mp3-Player, Smartphones oder Tablets verwenden können. Die hochwertigen Stereo-Lautsprecher sorgen mit 50 Watt(PMPO) Ausgangsleistung immer für einen kraftvollen Sound.</body>

<body>Das Gerät punktet mit kinderleichter und intuitiver Bedienung. Dank der kompakten Größe, des Tragegriffs sowie der Möglichkeit zum Batteriebetrieb können Sie das Gerät problemlos überall mit hinnehmen.</body>"		Tragbare Boombox mit Kassettendeck, AUX-Eingang, AM/FM-Radio und CD-Player	
2233306 ORC 120	BLOCKED				ORC 120	
2239864 SCD 69 WEISS	BLOCKED	Tragbare Boombox mit DAB+Radio und CD/MP3-Player	<body>Tragbare Boombox mit DAB+Radio und CD/MP3-Player</body>		Tragbare Boombox mit DAB+Radio	
2239865 SCD 69 TAUPE	BLOCKED	Tragbare Boombox mit DAB+Radio und CD/MP3-Player	<body>Tragbare Boombox mit DAB+Radio und CD/MP3-Player</body>		Tragbare Boombox mit DAB+Radio	
2239866 SCD 69 BLAU	BLOCKED	Tragbare Boombox mit DAB+Radio und CD/MP3-Player	<body>Tragbare Boombox mit DAB+Radio und CD/MP3-Player</body>		Tragbare Boombox mit DAB+Radio	
2239871 SCD 1960 SW	BLOCKED				CD/MP3 Boombox mit USB und UKW Radio	
2251975 SCD 300 PINK	BLOCKED	Tragbares FM Radio mit CD Player, USB Playback und LCD Display	<body>Tragbares FM Radio mit CD Player, USB Playback und LCD Display</body>		SCD 300 PINK	
2251976 SCD 300 SEA	BLOCKED	Tragbares FM Radio mit CD Player, USB Playback und LCD Display	<body>Tragbares FM Radio mit CD Player, USB Playback und LCD Display</body>		SCD 300 SEA	
2253602 RCD 1770 AN DAB+/UKW	DELETED				RCD 1770 AN DAB+/UKW	
2253605 SCD 1500 SW	DELETED	Stereo DAB+/UKW-PLL Radio mit CD/MP3 Spieler	<body>Stereo DAB+/UKW-PLL Radio mit CD/MP3 Spieler</body>		SCD 1500 SW	
2253606 SCD 1500 WE	DELETED	Stereo DAB+/UKW-PLL Radio mit CD/MP3 Spieler	<body>Stereo DAB+/UKW-PLL Radio mit CD/MP3 Spieler</body>		SCD 1500 WE	
2253611 SCD 5410 GR	DELETED				Radio-Kassettenspieler mit CD	
2253612 SCD 5410 BL	DELETED				Radio-Kassettenspieler mit CD	
2253613 SCD 5410 PI	DELETED				Radio-Kassettenspieler mit CD	
2253615 SCD 5410 RO	DELETED				Radio-Kassettenspieler mit CD	
2257805 SR 4379 CD SCHWARZ	DELETED				Stereoradio mit CD und Teleskopantenne	
2257806 SR 4379 CD WEISS	DELETED				Stereoradio mit CD und Teleskopantenne	
2257807 SR 4379 CD GRÜN	DELETED				Stereoradio mit CD und Teleskopantenne	
