<Name>	Category Relation Classification Reference	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1934683 CLR 4200 FR	310;305;1166;1168	ACTIVE				Uhrenradio mit Funk	
1952708 UR 406 SI	308;305;1167;1168	ACTIVE				Stereo DAB+ Uhrenradio mit bluetooth	
1959489 M 165 CMR	305;1168	ACTIVE				M 165 CMR	
1959490 M 190 CR	305;1168	ACTIVE				M 190 CR	
1959491 M 030 R	310;1166;1168	ACTIVE				M 030 R	
1973347 RX+ 35 E SCHWARZ	308;310;1167;1166;1168	ACTIVE		<body>Das RX+ 35e ist das ideale Radio für Küche, Arbeitszimmer oder Büro. Es hat einen DAB+/UKW Tuner mit RDS, sowie USB-Anschluss und SD-Kartenleser für Musikwiedergabe. Sie können es auch als Wecker benutzen</body>		DAB+ Radio, USB, SD-Slot	
1973390 CLR 42-1	310;305;1166;1168	ACTIVE	Uhrenradio mit Dualalarm und komfortablen Weckfunktionen wie 2 getrennt einstellbaren Weckzeiten sowie Sleep Timer und Snooze Funktion. Das große LED Display (2,3 cm hoch) ist auch für Brillenträger gut erkennbar. Das PLL UKW Ratio mit digitalen Tuner und leichter Sendersuche kann Ihre 10 Lieblings-Stationen speichern.			Uhrenradio, Dualalarm, UKW Tuner	
1973393 MS BT 32	226;1155;1168	ACTIVE		"<body>Die CD-Microanlage mit Bluetooth ist kompakt, verfügt über alle notwendigen Funktionen und hat einen sehr guten Klang. Mit der Einstellfunktion „Equalizer“ können Sie den Klang der Microanlage nach Ihren Vorlieben regeln.</body>

<header>Bluetooth-Wireless-Technologie - Kabelloser Musikgenuss im Wohnzimmer</header>

<body>Die CD-Microanlage lässt sich per Bluetooth Technologie mit Audiodateien aus vielfältigen Quellen bespielen. Die Musikdaten werden kabellos von kompatiblen Geräten an die Anlage übertragen.</body>

<header>MP3-Link</header>

<body>Musikwiedergabe vom MP3-Player: an den Line-In Eingang der MS BT 32 können Sie Ihren MP3-Player anschließen und Ihre Lieblingsmusik über die Microanlage abspielen.</body>

<header>2-Wege-Lautsprecher</header>

<body>Die 2-Wege-Lautsprecher sorgen für einen angenehmen Klang, der sich mit größeren Lautsprechern durchaus messen lassen kann.</body>

<header>Bedienkomfort</header>

<body>Die Fernbedienung ist intuitiv und übersichtlich gestaltet, alle Tasten haben eine angenehme Größe und sind leicht bedienbar. Alle Funktionen sind über die Fernbedienung steuerbar.</body>"		MS BT 32 CD-Microanlage mit Bluetooth (LED Display, Bluetooth V3.0, USB, MP3 Link, 30 Watt, PLL UKW-Radio, Fernbedienung)	
2021605 LIGHTYEAR	1168;305	ACTIVE	Der Radiowecker Lightyear von SDigital kommt mit Tageslichteffekt und weckt Sie wahlweise mit verschiedenen Naturgeräuschen, Radio oder dem Buzzer. Die Glühlampe aus weichem Material simuliert des Sonnenaufgang und ist 20-stufig dimmbar. Neben UKW-Radio und Musik-Wiedergabe über Bluetooth stehen auch 2 USB-Charge-Anschlüsse zum Laden von Smartphones, Tablets u.ä. bereit. Ein praktisches Feature für den Radiowecker ist die unterbrechungsfreie Stromversorgung, durch die bei einem Stromausfall die gespeicherten Uhr-und Weckzeiten erhalten bleiben.			LIGHTYEAR	
2029386 SUPER SIGNAL WALNUT/BLACK	1167;310	ACTIVE	"Das Revo Super Signal ist ein kleines hochwertiges Tischradio mit Aluminium Holzgehäuse. Die intergeriete Bluetooth Schnittstelle im Revo Super Signal unterstützt den neuen Standard AptX, der eine Audioübertragung in CD-Qualität ermöglicht.

Über DAB+ können Sie rauschfreies digital Radio auf dem Revo Super Signal empfangen und auf Wunsch über den Stereo Ausgang an Ihre Hifi Anlage ausgeben."			Revo Super Signal DAB/DAB+ und FM Radio mit Bluetooth Schnittstelle	
2029589 ICRP 212 UK	1168;305	ACTIVE				ICRP 212 UK	
2061011 RR 30 DINO SOFT TOUCH	1168;305	ACTIVE	"• UKW-Radio mit LCD-Anzeige
• 2 Weckzeiten
• Weckfunktion durch Summer oder Radio
• Schlummerfunktion (Snooze)
• Dimmbares LCD-Display
• Eingebauter Lautsprecher
• Stromausfallsicherung über 9V Blockbatterie (nicht im Lieferumfang enthalten)
• Netzbetrieb 230V
• Soft-Touch Oberfläche"			RR 30 DINO SOFT TOUCH	
1932982 M 18 RDC	307;1165	BLOCKED				M 18 RDC	
1934013 SCD 3330 RO	307;1165	BLOCKED				CD/MP3 Boombox mit USB und UKW/MW Radio 	
1934015 SCD 3330 SI	307;1165	BLOCKED				CD/MP3 Boombox mit USB und UKW/MW Radio soundmaster SCD3330SI	
1956664 SCD 39 USB PINK	310;307;1166;1165	BLOCKED				Tragesbares UKW-Radio it CD/MP3 Player und USB-Anschluss	
1957008 TCP 38 PINK MK2 BOOMBOX PINK	307;1165	BLOCKED				TCP 38 PINK MK2 BOOMBOX PINK	
1957009 TCP 38 RED MK2 BOOMBOX RED	307;1165	BLOCKED				TCP 38 RED MK2 BOOMBOX RED	
1957011 TCP 38 BLUE MK2 BOOMBOX BLUE	307;1165	BLOCKED				TCP 38 BLUE MK2 BOOMBOX BLUE	
1958901 MCA-230 MIKRO ANLAGE	1165;788;310;305;1155	BLOCKED				MCA-230 MIKRO ANLAGE	
1960575 M 22 US	309;310;1166;1165	BLOCKED				Tragbares Radio mit CD/MP3 Player und USB Anschluss	
1960578 M 22 LD	309;310;1166;1165	BLOCKED				Tragbares Radio mit CD/MP3 Player und USB Anschluss	
1960605 M 28 LD	309;310;1166;1165	BLOCKED				Portables Radio, CD / MP3, USB	
1970512 DR 88 BT SCHWARZ	308;310;1167;1166;307;1165	BLOCKED				DR-88BT 2.1 Audiosystem mit Bluetooth, DAB+, NFC, CD	
1973316 B 6 BLAU/SILBER	307;1165	BLOCKED	"Der B 6 der deutschen Traditionsmarke BLAUPUNKT ist das optimale Gerät fürs Kinderzimmer. Er ist farbenfroh, er ist leicht bedienbar und er spielt Kassetten ab.

Der eingebaute CD-Player spielt neben Original-CDs auch CD-R, CD-RW ab. 

MP3 Link ermöglicht die direkte Wiedergabe von MP3-Inhalten von einem tragbaren Media-Player. So können Sie Ihre Lieblingstitel in hervorragender Soundqualität auf Ihrem Audiosystem genießen, indem Sie einfach nur Ihren tragbaren MP3-Player an das Audiosystem anschließen.

In nahezu jedem Kinderzimmer gibt es eine Unmenge von Kinderliedern und Hörspielen auf Kassette. Häufig sind genau dort die Lieblingsstücke Ihrer Kleinen drauf. Mit dem B 6 können Sie die Lieblingsstücke Ihrer Kinder wieder zum Leben erwecken.

Der Player ist dabei so konstruiert, dass er auch von kleineren Kindern selbst bedient werden kann. Die Tasten und das Kassettendeck haben einen ordentlichen Druckpunkt, und sind auch für kleine Kinderhände gut bedienbar."			Boombox mit CD- und Kassettenalufwerk, MP3 Link und UKW Radio	
1973317 B 6 ROT/SILBER	1165;307	BLOCKED	"Der B 6 der deutschen Traditionsmarke BLAUPUNKT ist das optimale Gerät fürs Kinderzimmer. Er ist farbenfroh, er ist leicht bedienbar und er spielt Kassetten ab.

Der eingebaute CD-Player spielt neben Original-CDs auch CD-R, CD-RW ab. 

MP3 Link ermöglicht die direkte Wiedergabe von MP3-Inhalten von einem tragbaren Media-Player. So können Sie Ihre Lieblingstitel in hervorragender Soundqualität auf Ihrem Audiosystem genießen, indem Sie einfach nur Ihren tragbaren MP3-Player an das Audiosystem anschließen.

In nahezu jedem Kinderzimmer gibt es eine Unmenge von Kinderliedern und Hörspielen auf Kassette. Häufig sind genau dort die Lieblingsstücke Ihrer Kleinen drauf. Mit dem B 6 können Sie die Lieblingsstücke Ihrer Kinder wieder zum Leben erwecken.

Der Player ist dabei so konstruiert, dass er auch von kleineren Kindern selbst bedient werden kann. Die Tasten und das Kassettendeck haben einen ordentlichen Druckpunkt, und sind auch für kleine Kinderhände gut bedienbar."			Boombox mit CD und Kassettenlaufwerk, MP3 Link, UKW/MW Radio	
1973318 B 10-1 BLAU/SILBER	307;1165	BLOCKED	"Der B 10 der Traditionsmarke BLAUPUNKT ist das optimale Gerät fürs Kinderzimmer. Er ist farbenfroh, er ist leicht bedienbar und er spielt Kassetten ab.
Der eingebaute CD-Player spielt neben Original-CDs auch CD-R, CD-RW ab. Die hochwertigen Lautsprecher bieten einen sehr guten Klang, auch für verwöhnte Ohren. 

Endlich wieder Lieblingskassetten hören:  
In nahezu jedem Kinderzimmer gibt es eine Unmenge von Kinderliedern und Hörspielen auf Kassette. Häufig sind genau dort die Lieblingsstücke Ihrer Kleinen drauf. Mit dem B 10 können Sie die Lieblingsstücke Ihrer Kinder wieder zum Leben erwecken

MP3 Link ermöglicht die direkte Wiedergabe von MP3-Inhalten von einem tragbaren Media-Player. So können Sie Ihre Lieblingstitel in hervorragender Soundqualität auf Ihrem Audiosystem genießen, indem Sie einfach nur Ihren tragbaren MP3-Player an das Audiosystem anschließen.

Der Radiotuner ist sowohl für UKW als auch für Mittelwellensender geeignet. Die Einstellung der Sender mit dem großen seitlichen Drehrad ist sehr einfach und präzise möglich.
"			Boombox mit Kassettenlaufwerk	
1973319 B 10-1 ROT/SILBER	307;1165	BLOCKED	"Der B 10 der Traditionsmarke BLAUPUNKT ist das optimale Gerät fürs Kinderzimmer. Er ist farbenfroh, er ist leicht bedienbar und er spielt Kassetten ab.
Der eingebaute CD-Player spielt neben Original-CDs auch CD-R, CD-RW ab. Die hochwertigen Lautsprecher bieten einen sehr guten Klang, auch für verwöhnte Ohren. 

Endlich wieder Lieblingskassetten hören:  
In nahezu jedem Kinderzimmer gibt es eine Unmenge von Kinderliedern und Hörspielen auf Kassette. Häufig sind genau dort die Lieblingsstücke Ihrer Kleinen drauf. Mit dem B 10 können Sie die Lieblingsstücke Ihrer Kinder wieder zum Leben erwecken

MP3 Link ermöglicht die direkte Wiedergabe von MP3-Inhalten von einem tragbaren Media-Player. So können Sie Ihre Lieblingstitel in hervorragender Soundqualität auf Ihrem Audiosystem genießen, indem Sie einfach nur Ihren tragbaren MP3-Player an das Audiosystem anschließen.

Der Radiotuner ist sowohl für UKW als auch für Mittelwellensender geeignet. Die Einstellung der Sender mit dem großen seitlichen Drehrad ist sehr einfach und präzise möglich."			Boombox mit Kassettenlaufwerk	
1973320 B 10-1 MULTICOLOR	307;1165	BLOCKED	"Der B 10 der Traditionsmarke BLAUPUNKT ist das optimale Gerät fürs Kinderzimmer. Er ist farbenfroh, er ist leicht bedienbar und er spielt Kassetten ab.
Der eingebaute CD-Player spielt neben Original-CDs auch CD-R, CD-RW ab. Die hochwertigen Lautsprecher bieten einen sehr guten Klang, auch für verwöhnte Ohren. 

Endlich wieder Lieblingskassetten hören:  
In nahezu jedem Kinderzimmer gibt es eine Unmenge von Kinderliedern und Hörspielen auf Kassette. Häufig sind genau dort die Lieblingsstücke Ihrer Kleinen drauf. Mit dem B 10 können Sie die Lieblingsstücke Ihrer Kinder wieder zum Leben erwecken

MP3 Link ermöglicht die direkte Wiedergabe von MP3-Inhalten von einem tragbaren Media-Player. So können Sie Ihre Lieblingstitel in hervorragender Soundqualität auf Ihrem Audiosystem genießen, indem Sie einfach nur Ihren tragbaren MP3-Player an das Audiosystem anschließen.

Der Radiotuner ist sowohl für UKW als auch für Mittelwellensender geeignet. Die Einstellung der Sender mit dem großen seitlichen Drehrad ist sehr einfach und präzise möglich.
"			CD/MP3 Boombox mit Kassettenlaufwerk	
1973321 BT 55 BLAU/WEISS	310;307;1165	BLOCKED		"<header>Boombox mal anders: Tragbarer 2.1 Stereo Bluetooth Lautsprecher mit UKW Radio</header>

<body>Bluetooth hat sich in den letzten Jahren als Standard für die drahtlose Übertragung von Daten etabliert. Die deutsche Traditionsmarke BLAUPUNKT nutzt ihre jahrzehntelange Erfahrung und Kompetenz im Bau von hochwertigen Lautsprechersystemen und verbindet diese mit den neuen Technologien des 21. Jahrhunderts. Das Ergebnis sind innovative Produkte in hoher technologischer Qualität, an denen Sie lange Freude haben werden.</body>

<header>Verbindung von Klang und Design - Sehr guter Sound und großartiges Design:</header>

<body>Der BT 55e ist das optimale Gerät für ihre drahtlose Musikwiedergabe. Genießen Sie Musik ohne chaotischen Kabelsalat, hören Sie Ihre Lieblingsmusik von Ihrem Mobiltelefon, Tablet-PC oder Notebook. Der BT 55e wird Ihr ständiger Begleiter. Im Winter nutzen Sie ihn als Küchenradio oder fürs Bad oder Kinderzimmer. Im Sommer begleitet er Sie in den Garten, zum Picknick, in den Urlaub.</body>
<body>Der eingebaute Lithium-Ionen Akku sorgt dabei für lange Spielzeiten. Dank USB Ladefunktion können Sie den Blaupunkt Lautsprecher als Ladestation für Ihr Handy nutzen. Flexible Anschlüsse und UKW Radio.</body>

<header>Nie mehr Kabelsalat</header>

<body>Nahezu alle gängigen Handys und Smartphones haben eine Bluetooth-Funktion. Laden Sie Ihre Musiksammlung auf Ihr Handy und verbinden Sie es über Bluetooth mit dem BT 55e– Kabelgewirr oder das ewige Suchen nach dem richtigen Adapter war gestern!</body>
<header></header>
<header>MP3 Link / USB Anschluss</header>

<body>Natürlich können Sie an den BT 55e auch Ihren MP3-Player oder einen USB Stick anschließen.</body>

<header>PLL UKW Radio</header>

<body>Der BT 55e von BLAUPUNKT ist auch als digitales UKW Radio nutzbar.</body>"		tragbarer Stereo Bluetooth Lautsprecher mit UKW Radio (10 Watt, MP3 Link, USB für MP3, USB Lader, Lithium Ionen Akku) 	
1986977 CDR 4552 U/SL SILBER	310;1166;1165	BLOCKED				Stereo Boombox mit CD, MP3, USB, AUX-IN	
1986978 CDR 4552 U/RD ROT	310;1166;1165	BLOCKED				Stereo Boombox mit CD, MP3, USB, AUX-IN	
2003691 SR 4365 WEISS-SILBER	310;307;1166;1165	BLOCKED				SR 4365 CD Stereoradio mit CD	
2003693 SR 4365 ROT-SILBER	310;307;1166;1165	BLOCKED				SR 4365 CD Stereoradio mit CD	
2007985 PA 95	8022;8000	BLOCKED				Portable Sound System mit Bluetooth	
2008460 RR 5020 B SCHWARZ/SILBER	307;1165	BLOCKED				RR 5020 B SCHWARZ/SILBER	
2008462 RR 5020 C BLAU/SILBER	307;1165	BLOCKED				RR 5020 C BLAU/SILBER	
2008464 RR 5020 R ROT/SILBER	307;1165	BLOCKED				RR 5020 R ROT/SILBER	
2015899 SCD 7505 SW	310;307;1166;1165	BLOCKED				CD-MP3 Boombox mit UKW/UKW-ST Radio und USB	
2017949 SCD 7505 BR	310;307;1166;1165	BLOCKED				CD-MP3 Boombox mit UKW/UKW-ST Radio und USB	
2021603 COMMANDO	299;300;8022;8100	BLOCKED	Die Boombox Commando ist mit einem robusten Gehäuse im Retro-Design ausgestattet und verfügt über beleuchtete Llautsprecher, die zum Beat der Musik leuchten. Neben FM-Radio sowie Musikwiedergabe via Bluetooth, USB-Anschluss oder SD-Karte verfügt die Boombox auch über einen Aux-Eingang zum Anschluss weiterer Audio-Geräte. Ein nützliches Feature ist die praktische USB-Charging-Funktion zum Aufladen von Smartphones u.ä.			COMMANDO	
2024974 RR 5040 C BLAU	310;307;1165;1166	BLOCKED	Da werden Sie Augen bzw. Ohren machen! Denn das tragbare CD-Radio RR 5040 „Oberon“ von Karcher ist ein Multitalent, wenn es darum geht Ihre Lieblingsmusik abzuspielen. Egal ob CD, Radio, Kassette oder MP3 via AUX-Eingang – dank der integrierten Stereo-Lautsprecher mit einer Ausgangsleistung von 50 Watt (PMPO) können Sie Musik, Hörspiele und Ihren Lieblingsradiosender in einem tollen Sound genießen. Die Karcher Boombox RR 5040 kann sowohl im Netz- als auch im Batteriebetrieb genutzt werden. Mit nur 6 Batterien der Größe D/UM1 (nicht im Lieferumfang enthalten) wird aus dem handlichen Gerät ein portables Radio, das Sie überall mit hin nehmen können, völlig unabhängig davon ob eine Steckdose in Reichweite ist. Dank des praktischen Tragegriffs lässt sich „Oberon“ auch einfach transportieren.			Tragbares CD-Radio RR 5040 mit Kassettendeck und AUX-Eingang	
2028791 RCD 5050 BLACK/SILVER	1165;310	BLOCKED	"RESUME PLAY FÜR HÖRBUCHWIEDERGABE

Besonders praktisch für Hörbuchliebhaber: Das Resume Play lässt Sie nach Unterbrechungen automatisch an der zuletzt gehörten Stelle wieder einsteigen.

40 STATIONSSPEICHER

Ihr Wunschprogramm auf Knopfdruck. Mit 40 Stationsspeichern haben Sie Ihre Lieblingssender stets abrufbereit.

WIEDERGABE VON CDDA, WMA UND MP3

Auswahl mit Format. Ob CDDA, WMA oder MP3, der kompakte Radio-CD-Player spielt alle diese Formate.

AUX EINGANG

Der AUX Eingang gewährleistet eine verzerrungsfreie Wiedergabe von Audiosignalen verschiedener externer Audioquellen."			RCD 5050 BLACK/SILVER	
2034011 SCD 7200 SW	310;307;1166;1165	BLOCKED				CD Boombox mit Kassette, UKW/UKW-ST Radio und 6 Lautsprechern	
2034012 SCD 7200 WE	310;307;1166;1165	ACTIVE				CD Boombox mit Kassettenplayer, UKW/UKW-ST Radio und 6 Lautsprechern	
2066395 SR 4371 BT WEISS	1165;307	ACTIVE	"Allgemein Bluetooth Stereo Soundsystem mit CD/MP3, UKW Stereoradio mit CD/MP3, PLL-Radio (UKW), inkl. USB-Port, AUX-IN*, Kopfhörerbuchse (3,5 mm), Inklusive 7-Farben Discolicht, Beleuchtung individuell einstellbar, Steuerung auch über Fernbedienung möglich, 2x Lautsprecher mit passivem Basseffekt, inkl. Fernbedienung, Negativ LCD-Display (Schwarz/ Weiß), Batteriefach Bluetooth Ideal zur kabellosen Verbindung via Bluetooth (A2DP, Reichweite ca. 15 m) mit z. B. Smartphone, Tablet PC oder jedem anderen Bluetooth unterstützenden Gerät** zur Übertragung von Musikdateien und Internetradioinhalten – Verbindung auch kabelgebunden über AUX-IN möglich CD-Player Toploading-CD-Player, CD, CD-R, CD-RW, MP3 Wiedergabe, CD/MP3-Titel programmierbar, Titelsuchlauf-/sprung, Wiederholfunktion (1/alle), Play, Pause, Stopp PLL-UKW Radio PLL-Stereotuner (UKW/UKW-Stereo), 30 Senderspeicher, Teleskopantenne, digitale Frequenzanzeige, Stationsspeicher Verstärker Voreingestellter Equalizer mit verschiedenen Klangszenarien, Stereo, 2x Lautsprecher mit passivem Basseffekt, 2x 50 Watt + passiver Bass Spannungsversorgung 100-240 V, 50/60 Hz, 48 W; Batteriebetrieb: 8x 1,5 , Typ C (Batterien nicht im Lieferumfang enthalten)
* Audio-Eingang zum Anschluss an PC, Notebook, Smartphone, MP3-Player, CD-Player, Cassetten-Player etc. über den Kopfhörerausgang der Geräte
** Smartphone etc. nicht im Lieferumfang enthalten"	"<body>Allgemein Bluetooth Stereo Soundsystem mit CD/MP3, UKW Stereoradio mit CD/MP3, PLL-Radio (UKW), inkl. USB-Port, AUX-IN*, Kopfhörerbuchse (3,5 mm), Inklusive 7-Farben Discolicht, Beleuchtung individuell einstellbar, Steuerung auch über Fernbedienung möglich, 2x Lautsprecher mit passivem Basseffekt, inkl. Fernbedienung, Negativ LCD-Display (Schwarz/ Weiß), Batteriefach Bluetooth Ideal zur kabellosen Verbindung via Bluetooth (A2DP, Reichweite ca. 15 m) mit z. B. Smartphone, Tablet PC oder jedem anderen Bluetooth unterstützenden Gerät** zur Übertragung von Musikdateien und Internetradioinhalten – Verbindung auch kabelgebunden über AUX-IN möglich CD-Player Toploading-CD-Player, CD, CD-R, CD-RW, MP3 Wiedergabe, CD/MP3-Titel programmierbar, Titelsuchlauf-/sprung, Wiederholfunktion (1/alle), Play, Pause, Stopp PLL-UKW Radio PLL-Stereotuner (UKW/UKW-Stereo), 30 Senderspeicher, Teleskopantenne, digitale Frequenzanzeige, Stationsspeicher Verstärker Voreingestellter Equalizer mit verschiedenen Klangszenarien, Stereo, 2x Lautsprecher mit passivem Basseffekt, 2x 50 Watt + passiver Bass Spannungsversorgung 100-240 V, 50/60 Hz, 48 W; Batteriebetrieb: 8x 1,5 , Typ C (Batterien nicht im Lieferumfang enthalten)</body>
<body>* Audio-Eingang zum Anschluss an PC, Notebook, Smartphone, MP3-Player, CD-Player, Cassetten-Player etc. über den Kopfhörerausgang der Geräte</body>
<body>** Smartphone etc. nicht im Lieferumfang enthalten</body>"		SR 4371 BT WEISS	
2169615 SR 4374 SCHWARZ	1165;307	ACTIVE	"- Stereoradio mit CD
- Inkl. USB-Port (zum Abspielen von MP3-Dateien)
- LCD-Display
- Stereolautsprecher
- Batteriefach
- Toploading-CD-Player
- CD-Titel programmierbar
- Titelsuchlauf/-sprung
- Wiederholfunktion (1/alle)"	"<body>- Stereoradio mit CD</body>
<body>- Inkl. USB-Port (zum Abspielen von MP3-Dateien)</body>
<body>- LCD-Display</body>
<body>- Stereolautsprecher</body>
<body>- Batteriefach</body>
<body>- Toploading-CD-Player</body>
<body>- CD-Titel programmierbar</body>
<body>- Titelsuchlauf/-sprung</body>
<body>- Wiederholfunktion (1/alle)</body>"		AEG SR 4374 schwarz Stereoradio CD/USB	
2169616 SR 4374 WEISS	1165;307	ACTIVE	"- Stereoradio mit CD
- Inkl. USB-Port (zum Abspielen von MP3-Dateien)
- LCD-Display
- Stereolautsprecher
- Batteriefach
- Toploading-CD-Player
- CD-Titel programmierbar
- Titelsuchlauf/-sprung
- Wiederholfunktion (1/alle)"	"<body>- Stereoradio mit CD</body>
<body>- Inkl. USB-Port (zum Abspielen von MP3-Dateien)</body>
<body>- LCD-Display</body>
<body>- Stereolautsprecher</body>
<body>- Batteriefach</body>
<body>- Toploading-CD-Player</body>
<body>- CD-Titel programmierbar</body>
<body>- Titelsuchlauf/-sprung</body>
<body>- Wiederholfunktion (1/alle)</body>"		AEG SR 4374 weiß Stereoradio CD/USB	
1981147 MINI-LS	300;3337;8100	ACTIVE				MINI-LS	
2027208 OPK 500 BT-B	299;300;3336;3337;8100	ACTIVE	Tragbare Karaoke Box mit Bluetooth			OPK 500 BT-B	
